AC-FP-READ-GIBRALTER-BR-P-455-HA,Farpointe P-455-HA reader,Accessories,P-455-HA proximity reader; brass finish; with keypad; custom programmed; H10301 26-Bit format,1240,118,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-GUARDIAN-VR-P-403-HA,Farpointe P-403-HA reader,Accessories,P-403-HA proximity reader; vandal resistant; custom programmed; H10301 26-Bit format,1030,104,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-GUARDIAN-VR-P-405-HA,Farpointe P-405-HA reader,Accessories,P-405-HA proximity reader; vandal resistant; with keypad; custom programmed; H10301 26-Bit format,1240,151,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-GUARDIAN-VR-P-410-HA,Farpointe P-410-HA reader,Accessories,P-410-HA proximity reader; high security; vandal resistant; custom programmed; H10301 26-Bit format,1530,158,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-P-300-H,Farpointe P-300-H reader,Accessories,P-300-H proximity reader; black; mullion mount; H10301 26-Bit format,180,141,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-P-300-H-A,Farpointe P-300-H-A reader,Accessories,P-300-H-A proximity reader; black; mullion mount; H10301 26-Bit format; custom programmed,240,115,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-P-500-H,Farpointe P-500-H reader,Accessories,P-500-H proximity reader; black; single gang mount; H10301 26-Bit format,194,160,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-P-500-H-A,Farpointe P-500-H-A reader,Accessories,P-500-H-A proximity reader; black; single gang mount; H10301 26-Bit format; custom programmed,254,141,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-P-640-H,Farpointe P-640-H reader,Accessories,P-640-H proximity reader; with keypad; black; single gang mount; H10301 26-Bit format,404,87,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-P-640-H-A,Farpointe P-640-H-A reader,Accessories,P-640-H-A proximity reader; with keypad; black; single gang mount; H10301 26-Bit format; custom programmed,484,104,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-P-640-H-OSDP,Farpointe P-640-H-OSDP reader,Accessories,P-640-H proximity reader; with keypad; OSDP serial connectivity; black; single gang mount,510,117,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-P-710-H,Farpointe P-710-H reader,Accessories,P-710-H proximity reader; medium range; black; single gang mount; H10301 26-Bit format,320,155,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-P-710-H-A,Farpointe P-710-H-A reader,Accessories,P-710-H-A proximity reader; medium range; black; single gang mount; H10301 26-Bit format; custom programmed,384,104,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-P-900-H,Farpointe P-900-H reader,Accessories,P-900-H proximity reader; long range; black; wall mount; H10301 26-Bit format,840,159,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-P-900-H-A,Farpointe P-900-H-A reader,Accessories,P-900-H-A proximity reader; long range; black; wall mount; H10301 26-Bit format; custom programmed,940,157,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/ACM/Farpointe-Cascade-Reader_08172021.jpg
AC-FP-READ-PROX-EURO-P-530-HA,Farpointe P-530-HA reader,Accessories,P-530-HA proximity reader; European box compatible; custom programmed; H10301 26-Bit format,420,152,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
AC-FP-READ-PROX-KEYPAD-P-620-HA,Farpointe P-620-HA reader,Accessories,P-620-HA proximity reader; with keypad; custom programmed; H10301 26-Bit format,620,79,http://avoweb1.s3-us-west-2.amazonaws.com/Prod/VS/eCommerce-Site_Generic-Image_Access-Control-Hardware-and-Accessories_070720.jpg
